image,has_label,width,height,n_objects,valid_segmentation
10.rf.f0b182d5a78d6adc75e97f0f2314be9f.jpg,True,2560,1440,4,True
10.rf.f0b182d5a78d6adc75e97f0f2314be9f.jpg,True,2560,1440,4,True
1177.rf.6daeef2df5d75eefd4541cfc0b87d4e7.jpg,True,2560,1440,1,True
1177.rf.6daeef2df5d75eefd4541cfc0b87d4e7.jpg,True,2560,1440,1,True
1212.rf.090891b9f8930b63e7b4ca5a1e657114.jpg,True,2560,1440,1,True
1212.rf.090891b9f8930b63e7b4ca5a1e657114.jpg,True,2560,1440,1,True
1231.rf.128106df968aa70ceed75da0e63dddfb.jpg,True,2560,1440,1,True
1231.rf.128106df968aa70ceed75da0e63dddfb.jpg,True,2560,1440,1,True
1267.rf.56c6af391770f327e81755205464d4a2.jpg,True,2560,1440,2,True
1267.rf.56c6af391770f327e81755205464d4a2.jpg,True,2560,1440,2,True
1282.rf.57fd7d16bfc0e5608d0b086be53dffa9.jpg,True,2560,1440,3,True
1282.rf.57fd7d16bfc0e5608d0b086be53dffa9.jpg,True,2560,1440,3,True
1283.rf.659d0f096bd5efb8d9b047e5fc5e62fa.jpg,True,2560,1440,2,True
1283.rf.659d0f096bd5efb8d9b047e5fc5e62fa.jpg,True,2560,1440,2,True
1316.rf.549df90ae69c2bdc3aacfffb5e2393f9.jpg,True,2560,1440,1,True
1316.rf.549df90ae69c2bdc3aacfffb5e2393f9.jpg,True,2560,1440,1,True
1325.rf.1e13aac9121ed364d837344565838e28.jpg,True,2560,1440,1,True
1325.rf.1e13aac9121ed364d837344565838e28.jpg,True,2560,1440,1,True
1368.rf.9f16e2d5fc0c4068665b21a2c907c452.jpg,True,2560,1440,2,True
1368.rf.9f16e2d5fc0c4068665b21a2c907c452.jpg,True,2560,1440,2,True
1385.rf.08f14bbfa97ef4899891fff543f0d834.jpg,True,2560,1440,1,True
1385.rf.08f14bbfa97ef4899891fff543f0d834.jpg,True,2560,1440,1,True
1386.rf.519821ff0dac3fff141c82ebd8f7a9ca.jpg,True,2560,1440,1,True
1386.rf.519821ff0dac3fff141c82ebd8f7a9ca.jpg,True,2560,1440,1,True
1390.rf.322429c395411f0846e27b004d16d5eb.jpg,True,2560,1440,1,True
1390.rf.322429c395411f0846e27b004d16d5eb.jpg,True,2560,1440,1,True
141.rf.1f4b799a46b3015f49d48109ad1fe85c.jpg,True,2560,1440,2,True
141.rf.1f4b799a46b3015f49d48109ad1fe85c.jpg,True,2560,1440,2,True
1411.rf.1925f609cb7e16fa36f2d1a1ee2dacbb.jpg,True,2560,1440,1,True
1411.rf.1925f609cb7e16fa36f2d1a1ee2dacbb.jpg,True,2560,1440,1,True
1444.rf.88d536239aaf1ebf843bf9455e994aa8.jpg,True,2560,1440,2,True
1444.rf.88d536239aaf1ebf843bf9455e994aa8.jpg,True,2560,1440,2,True
1468.rf.3155bf4e81a07c39d2a7b87338355d93.jpg,True,2560,1440,1,True
1468.rf.3155bf4e81a07c39d2a7b87338355d93.jpg,True,2560,1440,1,True
1557.rf.10d82cc2d84158069151b6096801a524.jpg,True,2560,1440,2,True
