epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,531.046,1.84082,1.80384,2.64971,1.53327,0,0.45459,0.45517,0.34378,0.14211,0.47041,0.43586,0.32768,0.10065,2.04444,1.34187,2.49765,1.56721,0,0.000664783,0.000664783,0.000664783
2,1021.24,1.96561,1.43227,2.24609,1.61181,0,0.58894,0.43871,0.46222,0.2311,0.55991,0.46897,0.40931,0.13647,1.82315,1.3017,1.96785,1.44808,0,0.00119964,0.00119964,0.00119964
3,1517.43,1.88604,1.42188,1.97148,1.55022,0,0.59734,0.42759,0.42674,0.2371,0.52197,0.36,0.33326,0.10145,1.62107,1.22086,1.87351,1.2776,0,0.00160249,0.00160249,0.00160249
4,1996.85,1.76353,1.35029,1.79608,1.48222,0,0.67989,0.44414,0.49957,0.27969,0.62866,0.37517,0.38872,0.12588,1.63021,1.19985,1.6863,1.30021,0,0.001406,0.001406,0.001406
5,2435.15,1.58622,1.3166,1.64261,1.39691,0,0.58241,0.57379,0.54005,0.32023,0.50198,0.49931,0.40799,0.13155,1.48747,1.16062,1.57518,1.20357,0,0.001208,0.001208,0.001208
6,2881.07,1.48647,1.30589,1.54541,1.32952,0,0.6944,0.4869,0.57163,0.36913,0.69433,0.40138,0.43938,0.15613,1.36426,1.18435,1.51435,1.09501,0,0.00101,0.00101,0.00101
7,3331.18,1.39855,1.25187,1.45941,1.28488,0,0.66821,0.59862,0.61077,0.38809,0.58192,0.49517,0.4539,0.1588,1.32018,1.13611,1.36357,1.09585,0,0.000812,0.000812,0.000812
8,3765.48,1.29644,1.22768,1.3875,1.23693,0,0.71917,0.62759,0.63783,0.4384,0.67516,0.56966,0.54989,0.18963,1.16304,1.0909,1.33347,1.00687,0,0.000614,0.000614,0.000614
9,4196.07,1.22722,1.21472,1.31902,1.2126,0,0.7571,0.61931,0.64336,0.44212,0.69134,0.56552,0.5486,0.19283,1.12018,1.08083,1.26912,0.9946,0,0.000416,0.000416,0.000416
10,4702.71,1.14862,1.17017,1.26941,1.18257,0,0.78856,0.61517,0.67546,0.49003,0.70191,0.56836,0.5728,0.206,1.02145,1.04904,1.19541,0.93935,0,0.000218,0.000218,0.000218
